Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
8,1000,0.2,0.2,50.0,1000,2610,2067,989,50972.347656,0.019403
9,1000,0.2,0.2,50.0,1000,2772,2151,982,49236.160156,0.019945
10,1000,0.2,0.2,50.0,1000,12107,5817,541,49676.281250,0.010891
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,2982,2693,998,50133.726562,0.019907
2,1000,0.1,0.2,50.0,1000,3055,2757,996,51431.488281,0.019366
3,1000,0.1,0.2,50.0,1000,3032,2742,998,49547.855469,0.020142
4,1000,0.1,0.2,50.0,1000,3035,2750,998,48926.972656,0.020398
5,1000,0.1,0.2,50.0,1000,2949,2669,998,50846.527344,0.019628
6,1000,0.1,0.2,50.0,1000,2984,2675,997,49527.078125,0.020130
7,1000,0.1,0.2,50.0,1000,8412,7518,0,50254.621094,0.000000
8,1000,0.1,0.2,50.0,1000,3031,2719,998,50359.593750,0.019817
9,1000,0.1,0.2,50.0,1000,3034,2743,996,50867.726562,0.019580
10,1000,0.1,0.2,50.0,1000,2996,2691,998,51068.687500,0.019542
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,25785,5170,0,49994.171875,0.000000
2,1000,0.8,0.2,50.0,1000,27011,5353,572,51581.054688,0.011089
3,1000,0.8,0.2,50.0,1000,27355,5410,0,52226.390625,0.000000
4,1000,0.8,0.2,50.0,1000,26889,5471,568,50960.773438,0.011146
5,1000,0.8,0.2,50.0,1000,25861,5132,574,49365.503906,0.011628
6,1000,0.8,0.2,50.0,1000,26607,5366,588,50857.937500,0.011562
7,1000,0.8,0.2,50.0,1000,25990,5182,0,50209.714844,0.000000
8,1000,0.8,0.2,50.0,1000,26138,5281,537,50500.484375,0.010634
9,1000,0.8,0.2,50.0,1000,26229,5289,594,50002.726562,0.011879
10,1000,0.8,0.2,50.0,1000,26907,5318,512,51159.871094,0.010008
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,122568,8771,0,48950.050781,0.000000
2,1000,0.8,0.2,50.0,1000,120304,8730,137,49226.531250,0.002783
3,1000,0.8,0.2,50.0,1000,125119,9037,0,50135.492188,0.000000
4,1000,0.8,0.2,50.0,1000,124319,9211,170,51622.539062,0.003293
5,1000,0.8,0.2,50.0,1000,115902,8619,159,48943.066406,0.003249
6,1000,0.8,0.2,50.0,1000,124250,9055,158,50815.765625,0.003109
7,1000,0.8,0.2,50.0,1000,124036,8985,0,50045.660156,0.000000
8,1000,0.8,0.2,50.0,1000,121588,9065,151,50788.109375,0.002973
9,1000,0.8,0.2,50.0,1000,121079,8841,120,49725.605469,0.002413
10,1000,0.8,0.2,50.0,1000,125930,9148,144,51327.363281,0.002806
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,1034035,9265,0,51767.707031,0.000000
2,1000,0.8,0.2,50.0,1000,865026,8861,128,49944.105469,0.002563
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.6,0.2,50.0,1000,1463,126,0,51342.199219,0.000000
2,1000,0.6,0.2,50.0,1000,1464,118,0,52023.687500,0.000000
3,1000,0.6,0.2,50.0,1000,1398,181,32,49792.906250,0.000643
4,1000,0.6,0.2,50.0,1000,1368,163,33,50707.250000,0.000651
5,1000,0.6,0.2,50.0,1000,1443,140,24,50253.621094,0.000478
6,1000,0.6,0.2,50.0,1000,1511,194,37,51810.222656,0.000714
7,1000,0.6,0.2,50.0,1000,1457,155,22,51200.023438,0.000430
8,1000,0.6,0.2,50.0,1000,1395,119,10,49666.191406,0.000201
9,1000,0.6,0.2,50.0,1000,1448,157,42,49506.925781,0.000848
10,1000,0.6,0.2,50.0,1000,1462,130,0,50738.730469,0.000000
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,1667,68,0,51623.878906,0.000000
2,1000,0.8,0.2,50.0,1000,1658,76,0,50006.214844,0.000000
3,1000,0.8,0.2,50.0,1000,1643,69,0,50838.402344,0.000000
4,1000,0.8,0.2,50.0,1000,1684,67,0,50076.062500,0.000000
5,1000,0.8,0.2,50.0,1000,1616,89,21,48979.859375,0.000429
6,1000,0.8,0.2,50.0,1000,1698,99,11,50464.015625,0.000218
7,1000,0.8,0.2,50.0,1000,1737,83,9,49214.894531,0.000183
8,1000,0.8,0.2,50.0,1000,1722,78,8,51058.593750,0.000157
9,1000,0.8,0.2,50.0,1000,1655,57,0,48365.484375,0.000000
10,1000,0.8,0.2,50.0,1000,1713,71,0,50283.226562,0.000000
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,1005,399,193,49697.679688,0.003883
2,1000,0.2,0.2,50.0,1000,1174,300,0,50020.894531,0.000000
3,1000,0.2,0.2,50.0,1000,1131,445,235,49459.742188,0.004751
4,1000,0.2,0.2,50.0,1000,1048,356,133,49045.417969,0.002712
5,1000,0.2,0.2,50.0,1000,958,261,94,50029.601562,0.001879
6,1000,0.2,0.2,50.0,1000,993,442,241,51838.078125,0.004649
7,1000,0.2,0.2,50.0,1000,919,392,186,50193.042969,0.003706
8,1000,0.2,0.2,50.0,1000,1173,509,240,51191.035156,0.004688
9,1000,0.2,0.2,50.0,1000,990,375,154,51451.964844,0.002993
10,1000,0.2,0.2,50.0,1000,1042,373,187,49650.515625,0.003766
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.2,0.2,50.0,1000,1005,399,193,49697.679688,0.003883
2,1000,0.2,0.2,50.0,1000,1174,300,0,50020.894531,0.000000
3,1000,0.2,0.2,50.0,1000,1131,445,235,49459.742188,0.004751
4,1000,0.2,0.2,50.0,1000,1048,356,133,49045.417969,0.002712
5,1000,0.2,0.2,50.0,1000,958,261,94,50029.601562,0.001879
6,1000,0.2,0.2,50.0,1000,993,442,241,51838.078125,0.004649
7,1000,0.2,0.2,50.0,1000,919,392,186,50193.042969,0.003706
8,1000,0.2,0.2,50.0,1000,1173,509,240,51191.035156,0.004688
9,1000,0.2,0.2,50.0,1000,990,375,154,51451.964844,0.002993
10,1000,0.2,0.2,50.0,1000,1042,373,187,49650.515625,0.003766
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,1667,68,0,51623.878906,0.000000
2,1000,0.8,0.2,50.0,1000,1658,76,0,50006.214844,0.000000
3,1000,0.8,0.2,50.0,1000,1643,69,0,50838.402344,0.000000
4,1000,0.8,0.2,50.0,1000,1684,67,0,50076.062500,0.000000
5,1000,0.8,0.2,50.0,1000,1616,89,21,48979.859375,0.000429
6,1000,0.8,0.2,50.0,1000,1698,99,11,50464.015625,0.000218
7,1000,0.8,0.2,50.0,1000,1737,83,9,49214.894531,0.000183
8,1000,0.8,0.2,50.0,1000,1722,78,8,51058.593750,0.000157
9,1000,0.8,0.2,50.0,1000,1655,57,0,48365.484375,0.000000
10,1000,0.8,0.2,50.0,1000,1713,71,0,50283.226562,0.000000
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
